Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-02-12,144.1875,146.75,141.25,141.75,141.75,441280,0
2018-02-13,139.5,142.75,137.75,141.5625,141.5625,318416,1
2018-02-14,138.1875,150.25,137.375,149.125,149.125,652272,2
2018-02-15,146.75,152.75,144.25,152.25,152.25,537104,3
2018-02-16,150.625,155,149.625,153.5,153.5,538560,4
2018-02-20,154.4375,158.3125,153.375,154.3125,154.3125,394112,5
2018-02-21,152.8125,155.8125,152.0625,152.1875,152.1875,255216,6
2018-02-22,156.25,161.875,154.625,159.6875,159.6875,396272,7
2018-02-23,160.25,165.25,159.75,164.5625,164.5625,285920,8
2018-02-26,163.375,168.125,162.125,166.875,166.875,286928,9
2018-02-27,166.3125,166.375,160.4375,161.25,161.25,336624,10
2018-02-28,162.875,164.0625,153.25,153.875,153.875,543008,11
2018-03-01,151.1875,153.9375,147.3125,153.4375,153.4375,715264,12
2018-03-02,150.125,153.8125,147.3125,153.5625,153.5625,437952,13
2018-03-05,152.875,160.3125,152.4375,159.3125,159.3125,368256,14
2018-03-06,159.9375,160.3125,157.4375,158.8125,158.8125,284560,15
2018-03-07,157,159.5625,149.5,153.375,153.375,639312,16
2018-03-08,152.875,152.9375,146.6875,148.5625,148.5625,526016,17
2018-03-09,151.75,157,151.375,156.5,156.5,448288,18
2018-03-12,154.9375,155.625,150.125,153.5625,153.5625,348336,19
2018-03-13,152.5,156.75,148.5,150.5,150.5,494192,20
2018-03-14,151.6875,153,147.9375,151.5625,151.5625,462704,21
2018-03-15,153.5,154.8125,151.6875,153.125,153.125,302800,22
2018-03-16,153.5625,159.875,152.6875,158.4375,158.4375,486784,23
2018-03-19,158.6875,158.8125,154.125,157.9375,157.9375,354944,24
2018-03-20,163.4375,166.8125,162.375,164.5,164.5,438400,25
2018-03-21,168.5625,174.9375,167.625,174.1875,174.1875,533680,26
2018-03-22,169.75,170.8125,167.6875,168.0625,168.0625,360464,27
2018-03-23,171.8125,177.3125,171.5,176.8125,176.8125,522160,28
2018-03-26,175.375,176.625,172.4375,174.875,174.875,316592,29
2018-03-27,176.8125,176.875,170.125,171.125,171.125,386048,30
2018-03-28,169.75,172.6875,165.3125,170.3125,170.3125,472400,31
2018-03-29,169.1875,173.375,167.6875,171.875,171.875,307536,32
2018-04-02,168.5625,168.5625,161.3125,162.375,162.375,448512,33
2018-04-03,163.4375,165.375,161.9375,164.25,164.25,274768,34
2018-04-04,157.5,164.5625,156.6875,164.375,164.375,639568,35
2018-04-05,164.0625,167.1875,162.3125,164.625,164.625,297312,36
2018-04-06,163.8125,164.9375,155.375,156.3125,156.3125,389200,37
2018-04-09,161,164.3125,160.4375,162.6875,162.6875,278768,38
2018-04-10,169.25,175.4375,169.125,174.875,174.875,473952,39
2018-04-11,176.375,183.875,174.9375,180.0625,180.0625,460544,40
2018-04-12,178.75,182.25,176.1875,181.5,181.5,463424,41
2018-04-13,182.25,185.125,181.3125,182.8125,182.8125,316128,42
2018-04-16,181.1875,181.5,177.6875,178.625,178.625,248816,43
2018-04-17,175.75,179.8125,174.9375,179.25,179.25,266848,44
2018-04-18,186.8125,192.125,185.125,191.4375,191.4375,655680,45
2018-04-19,193.8125,194.9375,187.6875,189,189,423264,46
2018-04-20,185.9375,191,184.9375,188.8125,188.8125,362448,47
2018-04-23,185.1875,193.875,183.625,193.5625,193.5625,530720,48
2018-04-24,191.75,195.6875,185.8125,187,187,617264,49
2018-04-25,187.3125,189.25,183.5,188.5625,188.5625,411456,50
2018-04-26,191.625,191.625,187.125,189.625,189.625,300528,51
2018-04-27,187.4375,190.375,187.0625,188.6875,188.6875,284672,52
2018-04-30,185.5625,196,185.1875,190.625,190.625,675680,53
2018-05-01,187.6875,187.8125,182.3125,185.0625,185.0625,424336,54
2018-05-02,183.4375,188.75,182.5,186.5,186.5,770640,55
2018-05-03,185.625,191.3125,184.0625,190.625,190.625,378976,56
2018-05-04,190.875,199.0625,190.6875,197.8125,197.8125,499008,57
2018-05-07,201.1875,204.3125,196.75,198.6875,198.6875,688528,58
2018-05-08,201.1875,201.875,186.125,197.8125,197.8125,1868480,59
2018-05-09,203.375,207.1875,203.3125,205.9375,205.9375,513856,60
2018-05-10,206.1875,208.0625,202.625,207.1875,207.1875,492448,61
2018-05-11,206.25,207.75,202.375,202.8125,202.8125,393120,62
2018-05-14,204,206.9375,203.75,206.375,206.375,421664,63
2018-05-15,206.1875,208.0625,202.5625,206.8125,206.8125,592944,64
2018-05-16,205.625,209.25,204.125,208.9375,208.9375,510800,65
2018-05-17,211.125,213.4375,206.8125,209.6875,209.6875,634704,66
2018-05-18,208,209.6875,206.125,207.875,207.875,528768,67
2018-05-21,209.4375,214.75,208.875,214.4375,214.4375,451360,68
2018-05-22,214.1875,216.6875,211.3125,211.6875,211.6875,701760,69
2018-05-23,210.9375,212,206.625,210,210,544192,70
2018-05-24,203.5625,206.8125,203.0625,203.5,203.5,482080,71
2018-05-25,193.0625,193.1875,185.25,186.375,186.375,824272,72
2018-05-29,183.125,184.0625,176.8125,181.5,181.5,660912,73
2018-05-30,183.5625,190.75,183.375,190.25,190.25,584672,74
2018-05-31,183.4375,188.9375,180.1875,182.8125,182.8125,634784,75
2018-06-01,178.6875,181.625,174.5,174.625,174.625,554640,76
2018-06-04,176.125,176.75,169.5625,171.125,171.125,426112,77
2018-06-05,168.5625,174.625,167.9375,173.5625,173.5625,622496,78
2018-06-06,172.75,174.25,167.8125,172.0625,172.0625,580240,79
2018-06-07,173.25,177.25,172.875,176.5625,176.5625,380192,80
2018-06-08,176.125,178.0625,172.375,174.875,174.875,310608,81
2018-06-11,172.25,178.625,171.5625,176.9375,176.9375,304608,82
2018-06-12,176.8125,180.5,176.5,177.875,177.875,305824,83
2018-06-13,176.75,181.3125,176.25,180,180,394768,84
2018-06-14,182,182.3125,177.875,180.625,180.625,315584,85
2018-06-15,178.4375,178.5625,168,168.125,168.125,542688,86
2018-06-18,171.3125,175.5,170.1875,174.25,174.25,319504,87
2018-06-19,169.6875,172.5,167.3125,171,171,322096,88
2018-06-20,175.25,177.875,170.875,173.5625,173.5625,450880,89
2018-06-21,170.3125,176.1875,169.4375,173.25,173.25,365984,90
2018-06-22,183.0625,190.1875,180.6875,189.875,189.875,917408,91
